Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
186 Engineering,"1106 JEFFERSON STREET NW, , WASHINGTON, DC / 3013797309",LSDR78206052014,"ROB, DBE, SBE, LBE",info@186engineering.com,5/25/2014,Chris Fleming / 3013797309,1106 JEFFERSON ST NW,1106 JEFFERSON ST NW ,N
1st Lady Trucking,"1207 46TH STREET SE, , WASHINGTON, DC / 8553215239",LSDZR32831122014,"ROB, DZE, DBE, SBE, LBE",sburnette@1stladytrucking.com,12/20/2014,Shameeka Burnette / 2025499777,1207 46TH ST SE,1207 46TH ST SE ,N
"202 Communications, Inc. dba 202design","3900 MILITARY ROAD NW, , WASHINGTON, DC / 2022448700",LSR23621012015,"ROB, SBE, LBE",mike@202design.com,1/11/2015,Mike Heffner / 2022448700,3900 MILITARY RD NW,3900 MILITARY RD NW ,N
24/7 Computer Doctors LLC,"76 GALVESTON PLACE SW, , WASHINGTON, DC / 2027873925",LSDZR97003042013,"ROB, DZE, DBE, SBE, LBE",247@247computerdoctors.com,4/29/2013,Derrick Wood / 2027873925,76 GALVESTON PLACE SW,76 GALVESTON PLACE SW ,N
"2MC Construction, LLC","700 12TH STREET NW, Suite 700, WASHINGTON, DC / 2029042390",LSDZ46083092013,"DZE, DBE, SBE, LBE",heather@2mcbuild.com,9/8/2013,Heather Maier / 2029042390,700 12TH ST NW,700 12TH ST NW 700,Y
"7 Pointe Planning, Inc.","4208 BENNING ROAD NE, 5, WASHINGTON, DC / 2024985738",LSZR53849122013,"ROB, DZE, SBE, LBE",tony@7pointe.com,12/20/2013,W. Anthony Scurry II / 2024985738,4208 BENNING RD NE,4208 BENNING RD NE 5,Y
"7L Group, Inc.","3215 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2024234137",LSDZR98802112014,"ROB, DZE, DBE, SBE, LBE",LARUBYMAY@GMAIL.COM,11/21/2014,LaRuby May / 2024234137,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE ,N
A & A Athletic,"707 KENNEDY STREET NW, , WASHINGTON, DC / 2025430556",LSZR94481062013,"ROB, DZE, SBE, LBE",harold.goffney@yahoo.com,6/24/2013,Harold A Goffney / 2022104318,707 KENNEDY ST NW,707 KENNEDY ST NW ,N
"A Digital Solutions, Inc.","1503 9TH STREET NW, 201, WASHINGTON, DC / 2022898888",LSDZR15474062013,"ROB, DZE, DBE, SBE, LBE",darrell.edwards@adigitalsolutions.com,6/24/2013,Darrell Edwards / 2023411170,1503 9TH ST NW,1503 9TH ST NW 201,Y
A THRU Z CONSTRUCTION,"930 KENNEDY STREET NW, Suite 250, WASHINGTON, DC / 2028412938",LSDZ54553032014,"DZE, DBE, SBE, LBE",charlie@athruzstriping.com,3/30/2014,ELIZABETH SMITH / 2025875726,930 KENNEDY ST NW,930 KENNEDY ST NW 250,Y
A&Eheating&A/C LLC,"513 11TH STREET SE, , WASHINGTON, DC / 2026081348",LSD31632052013,"DBE, SBE, LBE",aehvac.tk@gmail.com,5/20/2013,Andre Marr / 2026081348,513 11TH ST SE,513 11TH ST SE ,N
"A&F Engineers, Inc.","1029 VERMONT AVENUE NW, SUITE 810, WASHINGTON, DC / 2026281600",LSDZ26527102013,"DZE, DBE, SBE, LBE",manastasi@af-engineers.com,10/14/2013,Myrofora Anastasi-Frantzis / 2026281600,1029 VERMONT AV NW,1029 VERMONT AV NW 810,Y
"A. Wash & Associates, Inc.","4649 NANNIE HELEN BURROUGHS AVENUE NE, , WASHINGTON, DC / 2023884000",LSDZR59447052014,"ROB, DZE, DBE, SBE, LBE",cwash@awashassociates.com,5/18/2014,Anthony Wash / 2023884000,4649 NANNIE HELEN BURROUGHS AV NE,4649 NANNIE HELEN BURROUGHS AV NE ,N
"A.G. Hill & Associates, PC","7603 GEORGIA AVENUE NW, , WASHINGTON, DC / 2024916118",LSR45213042013,"ROB, SBE, LBE",alhillcpa98@yahoo.com,4/22/2013,Alphonse G. Hill / 2024916118,7603 GEORGIA AV NW,7603 GEORGIA AV NW ,N
