Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
Flash Glass & Mirror Co. Inc.,Corporation,"ROB, DZE, DBE, SBE, LBE",Active,unitedflash@aol.com,1/20/14,"FILTERS, AIR CONDITIONER, GLASS FLOSS, Z-LINED, EXTENDED SURFACE, PLEATED,"
,,,,,,"FILTERS, A/C, BAG TYPE, FIBERGLASS, DISPOSABLE,"
,,,,,,"GLASS AND CERAMICS, ETCHED OR SCREEN PRINTED,"
,,,,,,"FRAMES, PICTURE, EXTRUDED ALUMINUM, NON-GLARE GLASS OR ACRYLIC,"
,,,,,,"FRAMES, PICTURE, BLACK METAL, REGULAR GLASS, VERTICAL OR HORIZONTAL,"
,,,,,,"Mirrors, Rearview, Interior and Exterior,"
,,,,,,"Barber Shop Mirrors,"
,,,,,,"Beauty Shop Mirrors,"
,,,,,,"Make-Up Mirrors,"
,,,,,,"Mirrors, Glass (Not Auto, Barber, Safety, Security, or Telescope) (Including Parts and Accessories),"
,,,,,,"MIRRORS, CONVEX, HOUSEHOLD TYPE,"
,,,,,,"MIRRORS, WALL,"
,,,,,,"Mirrors, Safety and Security, Non-Glass, Flat Type (For Prison or High Risk Areas) (Including Parts and Accessories),"
,,,,,,"Beveled Glass,"
,,,,,,"Bullet Proof Glass,"
,,,,,,"Mirror Glass,"
,,,,,,"Plate Glass,"
,,,,,,"GLASS, PLATE,"
,,,,,,"Plexiglass Glass,"
,,,,,,"GLASS, PLEXIGLASS,"
,,,,,,"Safety Glass, Laminated,"
,,,,,,"GLASS, SAFETY,"
,,,,,,"Stripping (For Desk Top Glass),"
,,,,,,"Thermo Glass (Insulated),"
,,,,,,"GLASS, INSULATED, CLEAR,"
,,,,,,"GLASS, THERMO,"
,,,,,,"Window Glass,"
,,,,,,"GLASS, DOUBLE STRENGTH, CLEAR,"
,,,,,,"GLASS, DOUBLE STRENGTH, FLOAT GLASS,"
,,,,,,"GLASS, SINGLE STRENGTH, CLEAR,"
,,,,,,"GLASS, SINGLE STRENGTH, FLOAT GLASS,"
,,,,,,"Wire Glass,"
,,,,,,"GLASS, WIRE, WINDOW, CLEAR,"
,,,,,,"GLASS, WIRE, WINDOW, HAMMERED,"
,,,,,,"Glazing/Mirrors (Including Window, Door and Windshield Glass),"
,,,,,,"Glazing/Mirrors (Incl. Window, Door and Windshield Glass),"
,,,,,,"MIRRORS, BATHROOM, STAINLESS STEEL,"
,,,,,,"Glass Replacement, Maintenance, and Repair,"
,,,,,,"GLASS AND PLASTIC REPLACEMENT,"
,,,,,,"Tinting Services, Window,"
,,,,,,"Glass and Glazing,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Furnishings Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Etching and Stained Glass Services,"
,,,,,,"Tinting And Coating Services, Glass (Automobile and Building),"
,,,,,,Glass
The Decca Development Corporation,Corporation,"ROB, DZE, DBE, SBE, LBE",Active,rsims09@hotmail.com,4/19/15,"Real Estate: Land and Improvements,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc)"
"Capstone Procurement, LLC",Limited Liability Corporation,"DZE, SBE, LBE",Active,normanjenkins@cstonedevelopment.com,3/16/14,Purchasing Consulting (Incl. Specification Development)
PACIFIC SERVICES INC,Corporation,"ROB, DBE, SBE, LBE",Active,gustavo@pacificservices-inc.com,4/9/14,"Janitorial/Custodial Services,"
,,,,,,"JANITORIAL/CUSTODIAL SERVICES,"
,,,,,,"EQUIPMENT MAINTENANCE AND REPAIR SERVICES FOR LAUNDRY, LAWN, PAINTING, PLUMBING, AND SPRAYING EQUIPMENT"
