PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO453398,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$151691.64,01/02/2013,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO453409,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$582597.40,01/02/2013,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO453414,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$35000.00,01/02/2013,"CENTRONIA, INC.",1420 COLUMBIA ROAD NW MUTICULTURAL LEARNING CENTER  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO453404,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$353521.69,01/02/2013,SEDC CHARTER SCHOOL INC.,"3100 MARTIN LUTHER KING AV, SE   ; WASHINGTON  ; DC  ; 20032-",WASHINGTON  ,DC
PO453407,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADVISORY SERVICES, EDUCATIONAL 05",$453493.21,01/02/2013,EUPHEMIA L. HAYNES PCS,"3600 GEORGIA AVENUE, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO453399,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$105606.24,01/02/2013,EUPHEMIA L. HAYNES PCS,"3600 GEORGIA AVENUE, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO453123,DEPARTMENT OF TRANSPORTATION,LICENSE PLATE DECALS 45,$15420.00,01/02/2013,UNICORE FEDERAL PRISON INDUSTR,3301 LEESTOWN ROAD640  ; LEXINGTON  ; KY  ; 40511-8799,LEXINGTON  ,KY
PO453435,METROPOLITAN POLICE DEPARTMENT,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$766499.84,01/02/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO453436,"DEPART OF INSURANCE,SECURITIES & BANKING",COPY MACHINE MAINTENANCE AND REPAIR 27,$113279.00,01/02/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO453416,DEPARTMENT OF MENTAL HEALTH,HOUSEKEEPING SERVICES 56,$13913.00,01/02/2013,MARCELLUS E. COBB,2324 GOOD HOPE ROAD SE #2   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO453402,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$259504.59,01/02/2013,"WILLIAM E DOAR, JR. PCS",705 EDGEWOOD STREET NE                             2ND FLOOR  ; WASHINGTON  ; DC  ; 20017,WASHINGTON  ,DC
PO453391,DEPARTMENT OF CORRECTIONS,"WINDOWS, FRAMES, AND SASHES, STEEL 94",$16700.00,01/02/2013,CRAFTMASTER HARDWARE CO.,190 VETERANS DRIVE  ; NORTHVALE  ; NJ  ; 07647,NORTHVALE  ,NJ
PO453465,DEPARTMENT OF GENERAL SERVICES,JANITORIAL/CUSTODIAL SERVICES 39,$9950.00,01/02/2013,"GNT GROUP, LLC",1503 9TH ST.NW #202  ; WASHINGTON   ; DC  ; 20001,WASHINGTON   ,DC
PO453466,DEPARTMENT OF GENERAL SERVICES,JANITORIAL/CUSTODIAL SERVICES 39,$9500.00,01/02/2013,"GNT GROUP, LLC",1503 9TH ST.NW #202  ; WASHINGTON   ; DC  ; 20001,WASHINGTON   ,DC
PO453440,DEPARTMENT OF GENERAL SERVICES,"FURNITURE, LABORATORY (CUSTOM MADE) 55",$27330.24,01/02/2013,JOHNSON HEALTH TECH NORTH AMER,1600 LANDMARK DR.  ; COTTON GROVE   ; WI  ; 53527,COTTON GROVE   ,WI
PO445005-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$417192.00,01/02/2013,NETWORK FOR VICTIM RECOVERY IN,LIGHTHOUSE CENTER FOR HEALING  5321 FIRST PLACE NE  ; WASHINGTON   ; DC  ; 20011-3410,WASHINGTON   ,DC
PO449762-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$4300.00,01/02/2013,MARGARET CLARE GOODWIN,9919 OLD SPRING ROAD  ; KENSINGTON  ; MD  ; 20895,KENSINGTON  ,MD
PO449760-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$5500.00,01/02/2013,SHANNA GOT,110 NORMANDY DRIVE  ; SILVER SPRING  ; MD  ; 20901,SILVER SPRING  ,MD
PO447573-V2,DC PUBLIC LIBRARY,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$34500.00,01/02/2013,LANCE MURTY,30 WINTHROP STREET  ; WINCHESTER  ; MA  ; 01890-1890,WINCHESTER  ,MA
PO453459,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$4232.58,01/02/2013,IT PROFESSIONAL SOLUTIONS INC,1732 KERSLEY CIR.  ; HEATHROW   ; FL  ; 32746,HEATHROW   ,FL
PO449949-V2,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$13400.00,01/02/2013,JANA CHRISTINA PARRISH,101 N CAROLINA AVE SE #409  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO453410,DEPUTY MAYOR FOR PUBLIC SAFETY & JUSTICE,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$192924.50,01/02/2013,"THE MOSS GROUP, INC.","1312 PENNSYLVANIA AVE, SE  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO453434,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$322964.00,01/02/2013,"AF/F&L SIGAL, LLC","1512 GOOD HOPE ROAD, SE  ; WASHINGTON   ; DC  ; 20020",WASHINGTON   ,DC
PO453446,DEPARTMENT OF CORRECTIONS,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,$57073.00,01/02/2013,ASSOCIATED SUPPLY INDUSTRIES,"1220 L STREET NW,SUITE 100-327  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO453470,COUNCIL OF THE DISTRICT OF COLUMBIA,ADMINISTRATIVE CONSULTING 06,$6465.76,01/02/2013,"GRANICUS, INC.",600 HARRISON STREET STE 120  ; SAN JOSE  ; CA  ; 95161-,SAN JOSE  ,CA
PO450664-V2,COUNCIL OF THE DISTRICT OF COLUMBIA,MOVING SERVICES 56,$3500.00,01/02/2013,"INTERIOR DIMENSIONS GROUP, INC","58 FLORIDA AVENUE, NW   ; WASHINGTON  ; DC  ; 20001-0001",WASHINGTON  ,DC
